ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0000911420-24-000296	021-533744               	31-DEC-2024		X0708	D	LIVE		
0001583370-24-000001	021-207543               	31-DEC-2024		X0708	D/A	LIVE		
0001460233-24-000001	021-130864               	31-DEC-2024		X0708	D/A	LIVE		
0002050416-24-000001	021-533752               	31-DEC-2024		X0708	D	LIVE		
0002047161-24-000001	021-533745               	31-DEC-2024		X0708	D	LIVE		
0002042821-24-000002	021-533757               	31-DEC-2024		X0708	D	LIVE		
0002049274-24-000001	021-533758               	31-DEC-2024		X0708	D	LIVE		
0002043902-24-000002	021-533762               	31-DEC-2024		X0708	D	LIVE		
0001641241-24-000003	021-533734               	31-DEC-2024		X0708	D	LIVE		
0000911420-24-000301	021-533748               	31-DEC-2024		X0708	D	LIVE		
0002049188-24-000002	021-533727               	31-DEC-2024		X0708	D	LIVE		
0001773867-24-000001	021-533743               	31-DEC-2024		X0708	D	LIVE		
0000950123-24-012414	021-533760               	31-DEC-2024		X0708	D	LIVE		
0002043798-24-000001	021-533761               	31-DEC-2024		X0708	D	LIVE		
0002050295-24-000001	021-533729               	31-DEC-2024		X0708	D	LIVE		
0002043658-24-000002	021-533732               	31-DEC-2024		X0708	D	LIVE		
0001863101-24-000002	021-533738               	31-DEC-2024		X0708	D	LIVE		
0002042970-24-000002	021-533741               	31-DEC-2024		X0708	D	LIVE		
0002050251-24-000001	021-533749               	31-DEC-2024		X0708	D	LIVE		
0001493152-24-052571	021-533737               	31-DEC-2024	2834	X0708	D	LIVE		
0001538189-24-000003	021-533733               	31-DEC-2024		X0708	D	LIVE		
0001683168-24-009054	021-533766               	31-DEC-2024	7372	X0708	D	LIVE		
0002050230-24-000001	021-533767               	31-DEC-2024		X0708	D	LIVE		
0001860191-24-000002	021-399692               	31-DEC-2024		X0708	D/A	LIVE		
0001648490-24-000001	021-533735               	31-DEC-2024		X0708	D	LIVE		
0002050364-24-000001	021-533736               	31-DEC-2024		X0708	D	LIVE		
0001910203-24-000002	021-533742               	31-DEC-2024		X0708	D	LIVE		
0002035012-24-000003	021-522355               	31-DEC-2024		X0708	D/A	LIVE		
0001866008-24-000001	021-406392               	31-DEC-2024		X0708	D/A	LIVE		
0002043797-24-000001	021-533756               	31-DEC-2024		X0708	D	LIVE		
0000950123-24-012419	021-533763               	31-DEC-2024		X0708	D	LIVE		
0001839381-24-000002	021-386088               	31-DEC-2024		X0708	D/A	LIVE		
0002027994-24-000002	021-533765               	31-DEC-2024		X0708	D	LIVE		
0000950123-24-012421	021-533764               	31-DEC-2024		X0708	D	LIVE		
0001750239-24-000001	021-533728               	31-DEC-2024		X0708	D	LIVE		
0002048771-24-000001	021-533730               	31-DEC-2024		X0708	D	LIVE		
0000911420-24-000298	021-533746               	31-DEC-2024		X0708	D	LIVE		
0000911420-24-000300	021-533747               	31-DEC-2024		X0708	D	LIVE		
0001592554-24-000001	021-207541               	31-DEC-2024		X0708	D/A	LIVE		
